<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CNYCB;D;20181009;000000;9.6863500;9.6863500;9.6863500;9.6863500;0
CNYCB;D;20181010;000000;9.5883600;9.5883600;9.5883600;9.5883600;0
CNYCB;D;20181011;000000;9.5650100;9.5650100;9.5650100;9.5650100;0
CNYCB;D;20181012;000000;9.6397600;9.6397600;9.6397600;9.6397600;0
CNYCB;D;20181013;000000;9.5295700;9.5295700;9.5295700;9.5295700;0
CNYCB;D;20181016;000000;9.4919600;9.4919600;9.4919600;9.4919600;0
CNYCB;D;20181017;000000;9.4713700;9.4713700;9.4713700;9.4713700;0
CNYCB;D;20181018;000000;9.4446900;9.4446900;9.4446900;9.4446900;0
CNYCB;D;20181019;000000;9.4689200;9.4689200;9.4689200;9.4689200;0
CNYCB;D;20181020;000000;9.4936800;9.4936800;9.4936800;9.4936800;0
CNYCB;D;20181023;000000;9.4146400;9.4146400;9.4146400;9.4146400;0
CNYCB;D;20181024;000000;9.4146100;9.4146100;9.4146100;9.4146100;0
CNYCB;D;20181025;000000;9.4564900;9.4564900;9.4564900;9.4564900;0
CNYCB;D;20181026;000000;9.4604900;9.4604900;9.4604900;9.4604900;0
CNYCB;D;20181027;000000;9.4461200;9.4461200;9.4461200;9.4461200;0
CNYCB;D;20181030;000000;9.4617200;9.4617200;9.4617200;9.4617200;0
CNYCB;D;20181031;000000;9.4486900;9.4486900;9.4486900;9.4486900;0
CNYCB;D;20181101;000000;9.4062300;9.4062300;9.4062300;9.4062300;0
CNYCB;D;20181102;000000;9.4453400;9.4453400;9.4453400;9.4453400;0
CNYCB;D;20181103;000000;9.5177100;9.5177100;9.5177100;9.5177100;0
CNYCB;D;20181107;000000;9.5396100;9.5396100;9.5396100;9.5396100;0
CNYCB;D;20181108;000000;9.5429800;9.5429800;9.5429800;9.5429800;0
CNYCB;D;20181109;000000;9.5562900;9.5562900;9.5562900;9.5562900;0
CNYCB;D;20181110;000000;9.6264200;9.6264200;9.6264200;9.6264200;0
CNYCB;D;20181113;000000;9.6919500;9.6919500;9.6919500;9.6919500;0
CNYCB;D;20181114;000000;9.7338200;9.7338200;9.7338200;9.7338200;0
CNYCB;D;20181115;000000;9.7824100;9.7824100;9.7824100;9.7824100;0
CNYCB;D;20181116;000000;9.6046500;9.6046500;9.6046500;9.6046500;0
CNYCB;D;20181117;000000;9.4986900;9.4986900;9.4986900;9.4986900;0
CNYCB;D;20181120;000000;9.5070100;9.5070100;9.5070100;9.5070100;0
CNYCB;D;20181121;000000;9.4519500;9.4519500;9.4519500;9.4519500;0
CNYCB;D;20181122;000000;9.5033500;9.5033500;9.5033500;9.5033500;0
CNYCB;D;20181123;000000;9.4596900;9.4596900;9.4596900;9.4596900;0
CNYCB;D;20181124;000000;9.4595600;9.4595600;9.4595600;9.4595600;0
CNYCB;D;20181127;000000;9.5896600;9.5896600;9.5896600;9.5896600;0
CNYCB;D;20181128;000000;9.6105700;9.6105700;9.6105700;9.6105700;0
CNYCB;D;20181129;000000;9.6233100;9.6233100;9.6233100;9.6233100;0
CNYCB;D;20181130;000000;9.5937300;9.5937300;9.5937300;9.5937300;0
CNYCB;D;20181201;000000;9.5815800;9.5815800;9.5815800;9.5815800;0
CNYCB;D;20181204;000000;9.6237300;9.6237300;9.6237300;9.6237300;0
CNYCB;D;20181205;000000;9.7094600;9.7094600;9.7094600;9.7094600;0
CNYCB;D;20181206;000000;9.7331900;9.7331900;9.7331900;9.7331900;0
CNYCB;D;20181207;000000;9.6941900;9.6941900;9.6941900;9.6941900;0
CNYCB;D;20181208;000000;9.7270000;9.7270000;9.7270000;9.7270000;0
CNYCB;D;20181211;000000;9.5807900;9.5807900;9.5807900;9.5807900;0
CNYCB;D;20181212;000000;9.6394000;9.6394000;9.6394000;9.6394000;0
CNYCB;D;20181213;000000;9.6418200;9.6418200;9.6418200;9.6418200;0
CNYCB;D;20181214;000000;9.6453700;9.6453700;9.6453700;9.6453700;0
CNYCB;D;20181215;000000;9.6319800;9.6319800;9.6319800;9.6319800;0
CNYCB;D;20181218;000000;9.6537900;9.6537900;9.6537900;9.6537900;0
CNYCB;D;20181219;000000;9.6788600;9.6788600;9.6788600;9.6788600;0
CNYCB;D;20181220;000000;9.7326000;9.7326000;9.7326000;9.7326000;0
CNYCB;D;20181221;000000;9.7674500;9.7674500;9.7674500;9.7674500;0
CNYCB;D;20181222;000000;9.8533100;9.8533100;9.8533100;9.8533100;0
CNYCB;D;20181225;000000;9.9194200;9.9194200;9.9194200;9.9194200;0
CNYCB;D;20181226;000000;9.9828400;9.9828400;9.9828400;9.9828400;0
CNYCB;D;20181227;000000;10.0092000;10.0092000;10.0092000;10.0092000;0
CNYCB;D;20181228;000000;10.0211000;10.0211000;10.0211000;10.0211000;0
CNYCB;D;20181229;000000;10.1277000;10.1277000;10.1277000;10.1277000;0
CNYCB;D;20181230;000000;10.0997000;10.0997000;10.0997000;10.0997000;0
CNYCB;D;20190110;000000;9.8149800;9.8149800;9.8149800;9.8149800;0
CNYCB;D;20190111;000000;9.8621600;9.8621600;9.8621600;9.8621600;0
CNYCB;D;20190112;000000;9.9149100;9.9149100;9.9149100;9.9149100;0
CNYCB;D;20190115;000000;9.9431800;9.9431800;9.9431800;9.9431800;0
CNYCB;D;20190116;000000;9.9329200;9.9329200;9.9329200;9.9329200;0
CNYCB;D;20190117;000000;9.8825700;9.8825700;9.8825700;9.8825700;0
CNYCB;D;20190118;000000;9.8093700;9.8093700;9.8093700;9.8093700;0
CNYCB;D;20190119;000000;9.7973400;9.7973400;9.7973400;9.7973400;0
CNYCB;D;20190122;000000;9.7735500;9.7735500;9.7735500;9.7735500;0
CNYCB;D;20190123;000000;9.7716600;9.7716600;9.7716600;9.7716600;0
CNYCB;D;20190124;000000;9.7713500;9.7713500;9.7713500;9.7713500;0
CNYCB;D;20190125;000000;9.7139700;9.7139700;9.7139700;9.7139700;0
CNYCB;D;20190126;000000;9.7464200;9.7464200;9.7464200;9.7464200;0
CNYCB;D;20190129;000000;9.7826200;9.7826200;9.7826200;9.7826200;0
CNYCB;D;20190130;000000;9.8559200;9.8559200;9.8559200;9.8559200;0
CNYCB;D;20190131;000000;9.8468100;9.8468100;9.8468100;9.8468100;0
CNYCB;D;20190201;000000;9.7481900;9.7481900;9.7481900;9.7481900;0
CNYCB;D;20190202;000000;9.7466300;9.7466300;9.7466300;9.7466300;0
CNYCB;D;20190205;000000;9.7239200;9.7239200;9.7239200;9.7239200;0
CNYCB;D;20190206;000000;9.7214300;9.7214300;9.7214300;9.7214300;0
CNYCB;D;20190207;000000;9.7361800;9.7361800;9.7361800;9.7361800;0
CNYCB;D;20190208;000000;9.7882700;9.7882700;9.7882700;9.7882700;0
CNYCB;D;20190209;000000;9.7946300;9.7946300;9.7946300;9.7946300;0
CNYCB;D;20190212;000000;9.6830000;9.6830000;9.6830000;9.6830000;0
CNYCB;D;20190213;000000;9.6934300;9.6934300;9.6934300;9.6934300;0
CNYCB;D;20190214;000000;9.7168700;9.7168700;9.7168700;9.7168700;0
CNYCB;D;20190215;000000;9.8287900;9.8287900;9.8287900;9.8287900;0
CNYCB;D;20190216;000000;9.8385500;9.8385500;9.8385500;9.8385500;0
CNYCB;D;20190219;000000;9.7889900;9.7889900;9.7889900;9.7889900;0
CNYCB;D;20190220;000000;9.7819400;9.7819400;9.7819400;9.7819400;0
CNYCB;D;20190221;000000;9.7951600;9.7951600;9.7951600;9.7951600;0
CNYCB;D;20190222;000000;9.7663600;9.7663600;9.7663600;9.7663600;0
CNYCB;D;20190223;000000;9.7512700;9.7512700;9.7512700;9.7512700;0
CNYCB;D;20190226;000000;9.7484700;9.7484700;9.7484700;9.7484700;0
CNYCB;D;20190227;000000;9.7994700;9.7994700;9.7994700;9.7994700;0
