<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
INDUSDX;D;20180102;000000;91.8950000;91.9300000;91.4700000;91.5800000;18851
INDUSDX;D;20180103;000000;91.5600000;91.9900000;91.5350000;91.8800000;17203
INDUSDX;D;20180104;000000;91.9650000;92.0000000;91.5200000;91.6100000;15222
INDUSDX;D;20180105;000000;91.5500000;91.8300000;91.5100000;91.7600000;13179
INDUSDX;D;20180107;000000;91.7650000;91.7650000;91.7000000;91.7150000;180
INDUSDX;D;20180108;000000;91.7150000;92.1350000;91.6100000;92.0900000;15728
INDUSDX;D;20180109;000000;92.0700000;92.3600000;91.9600000;92.2250000;21138
INDUSDX;D;20180110;000000;92.2250000;92.2850000;91.6500000;92.0950000;23837
INDUSDX;D;20180111;000000;92.0700000;92.3050000;91.5350000;91.6400000;22691
INDUSDX;D;20180112;000000;91.5100000;91.6300000;90.5300000;90.5900000;40350
INDUSDX;D;20180114;000000;90.5950000;90.6850000;90.5650000;90.6850000;144
INDUSDX;D;20180115;000000;90.6900000;90.7350000;90.0450000;90.7350000;24647
INDUSDX;D;20180116;000000;90.2550000;90.5800000;90.1050000;90.2350000;27938
INDUSDX;D;20180117;000000;89.9900000;90.6950000;89.9600000;90.6500000;33154
INDUSDX;D;20180118;000000;90.6500000;90.7650000;90.2050000;90.3050000;28150
INDUSDX;D;20180119;000000;90.3200000;90.5100000;89.9600000;90.4800000;24080
INDUSDX;D;20180121;000000;90.2700000;90.3850000;90.2300000;90.2600000;226
INDUSDX;D;20180122;000000;90.2800000;90.5000000;90.1400000;90.1400000;16469
INDUSDX;D;20180123;000000;90.1550000;90.3950000;89.8450000;89.8650000;20361
INDUSDX;D;20180124;000000;89.8750000;89.9050000;88.9550000;89.0350000;31276
INDUSDX;D;20180125;000000;89.0950000;89.4150000;88.2550000;89.2150000;69021
INDUSDX;D;20180126;000000;89.1700000;89.1800000;88.5650000;88.8800000;31105
INDUSDX;D;20180128;000000;88.9500000;88.9600000;88.8650000;88.8650000;186
INDUSDX;D;20180129;000000;88.8750000;89.4400000;88.8350000;89.1650000;19933
INDUSDX;D;20180130;000000;89.2150000;89.4800000;88.7400000;89.0050000;26215
INDUSDX;D;20180131;000000;88.9500000;89.1350000;88.6150000;88.9450000;29101
INDUSDX;D;20180201;000000;88.9400000;89.1700000;88.3850000;88.4600000;22617
INDUSDX;D;20180202;000000;88.4900000;89.2750000;88.4400000;89.0450000;30519
INDUSDX;D;20180204;000000;89.1850000;89.2200000;89.0550000;89.0800000;283
INDUSDX;D;20180205;000000;89.0850000;89.5800000;88.8750000;89.5550000;36135
INDUSDX;D;20180206;000000;89.4650000;89.9200000;89.2350000;89.5000000;39471
INDUSDX;D;20180207;000000;89.4900000;90.2750000;89.3250000;90.1700000;33023
INDUSDX;D;20180208;000000;90.1550000;90.4550000;89.8950000;90.1600000;33345
INDUSDX;D;20180209;000000;90.1600000;90.4500000;90.0050000;90.2250000;34837
INDUSDX;D;20180211;000000;90.2500000;90.2850000;90.2250000;90.2250000;137
INDUSDX;D;20180212;000000;90.2300000;90.3100000;89.9550000;89.9950000;19061
INDUSDX;D;20180213;000000;90.0600000;90.0700000;89.4900000;89.5900000;20949
INDUSDX;D;20180214;000000;89.5950000;90.0200000;88.8350000;88.9250000;33114
INDUSDX;D;20180215;000000;88.8900000;88.8900000;88.4450000;88.4600000;27579
INDUSDX;D;20180216;000000;88.5000000;89.1500000;88.1500000;89.0450000;26092
INDUSDX;D;20180218;000000;89.0050000;89.0200000;88.9600000;89.0200000;120
INDUSDX;D;20180219;000000;89.0300000;89.3550000;88.8650000;89.0130000;11288
INDUSDX;D;20180220;000000;89.1650000;89.7200000;89.1550000;89.6550000;17036
INDUSDX;D;20180221;000000;89.6750000;90.0600000;89.4900000;90.0200000;22764
INDUSDX;D;20180222;000000;90.0550000;90.1700000;89.5600000;89.6600000;24055
INDUSDX;D;20180223;000000;89.7050000;89.9900000;89.6900000;89.7950000;16550
INDUSDX;D;20180225;000000;89.8800000;89.9250000;89.8300000;89.9000000;258
INDUSDX;D;20180226;000000;89.8800000;90.0000000;89.4250000;89.7750000;20481
INDUSDX;D;20180227;000000;89.6750000;90.4350000;89.6200000;90.3250000;29662
INDUSDX;D;20180228;000000;90.3050000;90.6500000;90.2450000;90.5950000;24659
INDUSDX;D;20180301;000000;90.6550000;90.8850000;90.1600000;90.2250000;39677
INDUSDX;D;20180302;000000;90.2000000;90.2600000;89.8350000;89.9450000;24396
INDUSDX;D;20180304;000000;89.8300000;90.0400000;89.6500000;89.9500000;417
INDUSDX;D;20180305;000000;89.9500000;90.1900000;89.8250000;89.9750000;23022
INDUSDX;D;20180306;000000;89.9200000;90.0350000;89.4700000;89.5800000;31786
INDUSDX;D;20180307;000000;89.4900000;89.7450000;89.3350000;89.5800000;21379
INDUSDX;D;20180308;000000;89.5850000;90.2150000;89.4200000;90.1100000;29120
INDUSDX;D;20180309;000000;90.1750000;90.3650000;89.9650000;90.1000000;22083
INDUSDX;D;20180311;000000;90.0650000;90.1200000;90.0600000;90.1050000;357
INDUSDX;D;20180312;000000;90.1050000;90.1650000;89.8150000;89.9050000;14924
INDUSDX;D;20180313;000000;89.8700000;90.0900000;89.5650000;89.7000000;21051
