<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCNY;D;20180101;000000;6.5062000;6.5062000;6.5062000;6.5062000;1052
USDCNY;D;20180102;000000;6.5066000;6.5066000;6.4895000;6.4910000;2197
USDCNY;D;20180103;000000;6.4909000;6.5105000;6.4909000;6.5009000;2161
USDCNY;D;20180104;000000;6.5009000;6.5092000;6.4907000;6.4914000;2143
USDCNY;D;20180105;000000;6.4914000;6.4933000;6.4780000;6.4874000;2078
USDCNY;D;20180106;000000;6.4874000;6.4874000;6.4870000;6.4874000;4
USDCNY;D;20180107;000000;6.4874000;6.4874000;6.4874000;6.4874000;2
USDCNY;D;20180108;000000;6.4875000;6.4986000;6.4739000;6.4969000;2224
USDCNY;D;20180109;000000;6.4969000;6.5295000;6.4969000;6.5262000;2410
USDCNY;D;20180110;000000;6.5262000;6.5345000;6.5004000;6.5054000;2155
USDCNY;D;20180111;000000;6.5054000;6.5175000;6.4913000;6.4955000;2424
USDCNY;D;20180112;000000;6.4955000;6.5045000;6.4533000;6.4606000;1989
USDCNY;D;20180113;000000;6.4606000;6.4606000;6.4600000;6.4606000;5
USDCNY;D;20180114;000000;6.4606000;6.4606000;6.4606000;6.4606000;2
USDCNY;D;20180115;000000;6.4589000;6.4667000;6.4167000;6.4349000;2348
USDCNY;D;20180116;000000;6.4349000;6.4431000;6.4220000;6.4394000;2337
USDCNY;D;20180117;000000;6.4394000;6.4415000;6.4185000;6.4329000;2242
USDCNY;D;20180118;000000;6.4329000;6.4409000;6.4149000;6.4174000;2256
USDCNY;D;20180119;000000;6.4174000;6.4178000;6.3875000;6.3989000;2036
USDCNY;D;20180120;000000;6.3989000;6.3989000;6.3989000;6.3989000;3
USDCNY;D;20180122;000000;6.3989000;6.4138000;6.3980000;6.4034000;2071
USDCNY;D;20180123;000000;6.4035000;6.4090000;6.3900000;6.3999000;1994
USDCNY;D;20180124;000000;6.3999000;6.4017000;6.3641000;6.3649000;2161
USDCNY;D;20180125;000000;6.3649000;6.3650000;6.3135000;6.3188000;2197
USDCNY;D;20180126;000000;6.3188000;6.3340000;6.3115000;6.3198000;1685
USDCNY;D;20180127;000000;6.3198000;6.3198000;6.3180000;6.3198000;11
USDCNY;D;20180128;000000;6.3198000;6.3198000;6.3198000;6.3198000;4
USDCNY;D;20180129;000000;6.3198000;6.3350000;6.3198000;6.3328000;1512
USDCNY;D;20180130;000000;6.3327000;6.3436000;6.3155000;6.3198000;2218
